2013/01/28 23:25:22 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: Loading user properties from: /usr/local/apache-jmeter/bin/user.properties 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: Loading system properties from: /usr/local/apache-jmeter/bin/system.properties 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: Copyright (c) 1998-2012 The Apache Software Foundation 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: Version 2.8 r1393162 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: java.version=1.7.0_11 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: os.name=Mac OS X 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: os.arch=x86_64 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: os.version=10.8.2 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: JMeterHome=/usr/local/apache-jmeter 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: user.dir  =/Users/xavriley/Sites/speedmetal/apps/rails3/spree 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: PWD       =/Users/xavriley/Sites/speedmetal/apps/rails3/spree 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: IP: 192.168.0.8 Name: iMac.local FullName: 192.168.0.8 
2013/01/28 23:25:23 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2013/01/28 23:25:44 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2013/01/28 23:25:44 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2013/01/28 23:25:46 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2013/01/28 23:25:48 INFO  - jmeter.gui.util.MenuFactory: Skipping kg.apc.jmeter.config.VariablesFromCSVFile 
2013/01/28 23:25:49 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2013/01/28 23:25:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2013/01/28 23:25:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2013/01/28 23:25:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2013/01/28 23:25:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2013/01/28 23:25:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2013/01/28 23:25:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2013/01/28 23:25:49 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2013/01/28 23:25:49 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2013/01/28 23:25:50 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2013/01/28 23:25:50 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2013/01/28 23:25:50 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2013/01/28 23:25:50 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2013/01/28 23:26:11 INFO  - jmeter.services.FileServer: Default base='/Users/xavriley/Sites/speedmetal/apps/rails3/spree' 
2013/01/28 23:26:11 INFO  - jmeter.gui.action.Load: Loading file: /Users/xavriley/Sites/jrubydemo/jmeter-test.jmx 
2013/01/28 23:26:11 INFO  - jmeter.services.FileServer: Set new base='/Users/xavriley/Sites/jrubydemo' 
2013/01/28 23:26:12 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2013/01/28 23:26:12 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2013/01/28 23:26:12 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1382180 
2013/01/28 23:26:12 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.3 
2013/01/28 23:26:12 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2013/01/28 23:26:12 INFO  - jmeter.util.NameUpdater: Processing jar:file:/usr/local/apache-jmeter/lib/ext/JMeterPlugins.jar!/META-INF/resources/org.apache.jmeter.nameupdater.properties 
2013/01/28 23:26:12 INFO  - jmeter.util.NameUpdater: Added additional nameMap entry: kg.apc.jmeter.vizualizers.TotalTransactionsPerSecondGui 
2013/01/28 23:26:12 INFO  - jmeter.services.FileServer: Set new base='/Users/xavriley/Sites/jrubydemo' 
2013/01/28 23:27:12 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2013/01/28 23:27:12 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2013/01/28 23:27:12 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/01/28 23:27:12 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/01/28 23:27:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2013/01/28 23:27:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting 500 threads for group Thread Group. 
2013/01/28 23:27:12 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/01/28 23:27:12 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 500 ramp-up 300 perThread 600.0 delayedStart=true 
2013/01/28 23:27:12 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/01/28 23:27:12 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/01/28 23:27:12 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2013/01/28 23:27:12 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2013/01/28 23:27:12 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2013/01/28 23:27:12 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = iMac.local 
2013/01/28 23:27:12 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 1 
2013/01/28 23:27:13 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2013/01/28 23:27:13 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2013/01/28 23:27:13 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2013/01/28 23:27:13 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2013/01/28 23:27:14 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2013/01/28 23:27:14 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2013/01/28 23:27:15 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2013/01/28 23:27:15 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2013/01/28 23:27:15 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2013/01/28 23:27:15 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-6 
2013/01/28 23:27:16 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2013/01/28 23:27:16 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-7 
2013/01/28 23:27:16 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2013/01/28 23:27:17 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-5 
2013/01/28 23:27:17 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-8 
2013/01/28 23:27:17 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-6 
2013/01/28 23:27:17 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-9 
2013/01/28 23:27:18 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-7 
2013/01/28 23:27:18 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-10 
2013/01/28 23:27:18 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-8 
2013/01/28 23:27:18 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-11 
2013/01/28 23:27:19 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-9 
2013/01/28 23:27:19 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-12 
